identifier,url,format
ykv5-fn9t,https://explore.data.gov/views/ykv5-fn9t/rows.csv?accessType=DOWNLOAD,csv
t9x5-2xzp,https://explore.data.gov/views/t9x5-2xzp/rows.csv?accessType=DOWNLOAD,csv
uc4u-xdrd,https://explore.data.gov/views/uc4u-xdrd/rows.csv?accessType=DOWNLOAD,csv
fjce-ze3t,https://explore.data.gov/views/fjce-ze3t/rows.csv?accessType=DOWNLOAD,csv
5uik-y7st,https://explore.data.gov/views/5uik-y7st/rows.csv?accessType=DOWNLOAD,csv
8bii-3eu2,https://explore.data.gov/views/8bii-3eu2/rows.csv?accessType=DOWNLOAD,csv
4ibs-r6fv,https://explore.data.gov/views/4ibs-r6fv/rows.csv?accessType=DOWNLOAD,csv
thh5-72te,https://explore.data.gov/views/thh5-72te/rows.csv?accessType=DOWNLOAD,csv
wgh7-hitc,https://explore.data.gov/views/wgh7-hitc/rows.csv?accessType=DOWNLOAD,csv
tcb6-vjfn,https://explore.data.gov/views/tcb6-vjfn/rows.csv?accessType=DOWNLOAD,csv
3vvm-4qnc,https://explore.data.gov/views/3vvm-4qnc/rows.csv?accessType=DOWNLOAD,csv
47az-2vt8,https://explore.data.gov/views/47az-2vt8/rows.csv?accessType=DOWNLOAD,csv
dfj8-kqrg,https://explore.data.gov/views/dfj8-kqrg/rows.csv?accessType=DOWNLOAD,csv
xdea-fj43,https://explore.data.gov/views/xdea-fj43/rows.csv?accessType=DOWNLOAD,csv
vp9n-h5bj,https://explore.data.gov/views/vp9n-h5bj/rows.csv?accessType=DOWNLOAD,csv
thh5-72te,https://explore.data.gov/views/thh5-72te/rows.csv?accessType=DOWNLOAD,csv
ykv5-fn9t,https://explore.data.gov/views/ykv5-fn9t/rows.json?accessType=DOWNLOAD,json
t9x5-2xzp,https://explore.data.gov/views/t9x5-2xzp/rows.json?accessType=DOWNLOAD,json
uc4u-xdrd,https://explore.data.gov/views/uc4u-xdrd/rows.json?accessType=DOWNLOAD,json
fjce-ze3t,https://explore.data.gov/views/fjce-ze3t/rows.json?accessType=DOWNLOAD,json
5uik-y7st,https://explore.data.gov/views/5uik-y7st/rows.json?accessType=DOWNLOAD,json
8bii-3eu2,https://explore.data.gov/views/8bii-3eu2/rows.json?accessType=DOWNLOAD,json
4ibs-r6fv,https://explore.data.gov/views/4ibs-r6fv/rows.json?accessType=DOWNLOAD,json
thh5-72te,https://explore.data.gov/views/thh5-72te/rows.json?accessType=DOWNLOAD,json
wgh7-hitc,https://explore.data.gov/views/wgh7-hitc/rows.json?accessType=DOWNLOAD,json
tcb6-vjfn,https://explore.data.gov/views/tcb6-vjfn/rows.json?accessType=DOWNLOAD,json
3vvm-4qnc,https://explore.data.gov/views/3vvm-4qnc/rows.json?accessType=DOWNLOAD,json
47az-2vt8,https://explore.data.gov/views/47az-2vt8/rows.json?accessType=DOWNLOAD,json
dfj8-kqrg,https://explore.data.gov/views/dfj8-kqrg/rows.json?accessType=DOWNLOAD,json
xdea-fj43,https://explore.data.gov/views/xdea-fj43/rows.json?accessType=DOWNLOAD,json
vp9n-h5bj,https://explore.data.gov/views/vp9n-h5bj/rows.json?accessType=DOWNLOAD,json
thh5-72te,https://explore.data.gov/views/thh5-72te/rows.json?accessType=DOWNLOAD,json
ykv5-fn9t,https://explore.data.gov/views/ykv5-fn9t/rows.xml?accessType=DOWNLOAD,xml
t9x5-2xzp,https://explore.data.gov/views/t9x5-2xzp/rows.xml?accessType=DOWNLOAD,xml
uc4u-xdrd,https://explore.data.gov/views/uc4u-xdrd/rows.xml?accessType=DOWNLOAD,xml
fjce-ze3t,https://explore.data.gov/views/fjce-ze3t/rows.xml?accessType=DOWNLOAD,xml
5uik-y7st,https://explore.data.gov/views/5uik-y7st/rows.xml?accessType=DOWNLOAD,xml
8bii-3eu2,https://explore.data.gov/views/8bii-3eu2/rows.xml?accessType=DOWNLOAD,xml
4ibs-r6fv,https://explore.data.gov/views/4ibs-r6fv/rows.xml?accessType=DOWNLOAD,xml
thh5-72te,https://explore.data.gov/views/thh5-72te/rows.xml?accessType=DOWNLOAD,xml
wgh7-hitc,https://explore.data.gov/views/wgh7-hitc/rows.xml?accessType=DOWNLOAD,xml
tcb6-vjfn,https://explore.data.gov/views/tcb6-vjfn/rows.xml?accessType=DOWNLOAD,xml
3vvm-4qnc,https://explore.data.gov/views/3vvm-4qnc/rows.xml?accessType=DOWNLOAD,xml
47az-2vt8,https://explore.data.gov/views/47az-2vt8/rows.xml?accessType=DOWNLOAD,xml
dfj8-kqrg,https://explore.data.gov/views/dfj8-kqrg/rows.xml?accessType=DOWNLOAD,xml
xdea-fj43,https://explore.data.gov/views/xdea-fj43/rows.xml?accessType=DOWNLOAD,xml
vp9n-h5bj,https://explore.data.gov/views/vp9n-h5bj/rows.xml?accessType=DOWNLOAD,xml
thh5-72te,https://explore.data.gov/views/thh5-72te/rows.xml?accessType=DOWNLOAD,xml
