title,description,keyword,modified,publisher,person,mbox,identifier,accessLevel,COMMON-EXPANDED,dataDictionary,accessURL,webService,format,license,spatial,temporal,EXPANDED,issued,accrualPeriodicity,language,granularity,dataQuality,theme,references,size,landingPage,feed,systemOfRecords
Public Elementary/Secondary Listing,"The purpose of the CCD nonfiscal surveys is to provide a listing of all schools and agencies providing free public elementary and secondary education, along with basic descriptive statistical information on each school and agency listed. Penalties apply for misuse, seehttp://nces.ed.gov/ncesglobal/data_usage_agreement.aspfor more details.","education, schools",2011-11-19 00:00:00,US Department of Education,Open Data Initiative,opendata@ed.gov,ykv5-fn9t,public,,http://nces.ed.gov/ccd/pdf/INsc09101a.pdf,,http://explore.data.gov/api/views/ykv5-fn9t/rows.json,JSON,Public Domain,US,"2009-09-01 00:00:00,2010-05-31 00:00:00",,,,English,,true,Kindergarten through Grade 12 Schools,http://nces.ed.gov/ccd/data/txt/psu091alay.txt,,http://ed.gov/developer,,http://nces.ed.gov/ccd/
School District / Local Education Agency (LEA) Listing,"The purpose of the CCD nonfiscal surveys is to provide a listing of all schools and agencies providing free public elementary and secondary education, along with basic descriptive statistical information on each school and agency listed. Penalties apply for misuse, seehttp://nces.ed.gov/ncesglobal/data_usage_agreement.aspfor more details.","education, schools",2011-11-19 00:00:00,US Department of Education,Open Data Initiative,opendata@ed.gov,t9x5-2xzp,public,,http://nces.ed.gov/ccd/pdf/pau091agen.pdf,,http://explore.data.gov/api/views/t9x5-2xzp/rows.json,JSON,Public Domain,US,"2009-09-01 00:00:00,2010-05-31 00:00:00",,,,English,,true,Kindergarten through Grade 12 Schools,,,http://ed.gov/developer,,http://nces.ed.gov/ccd/
Directory Listing,"This file contains directory information for every institution in the 2010 IPEDS universe. Includes name, address, city, state and zipcode. Identifies institutions as currently active, institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory. It also includes variables derived from the 2010 Institutional Characteristics survey, such as control and level of institution, highest level and highest degree offered and carnegie classifications.","education, colleges, universities",2011-11-19 00:00:00,US Department of Education,Open Data Initiative,opendata@ed.gov,uc4u-xdrd,public,,http://nces.ed.gov/ipeds/datacenter/data/HD2010_Dict.zip,,http://explore.data.gov/api/views/uc4u-xdrd/rows.json,JSON,Public Domain,US,"2009-09-01 00:00:00,2010-05-31 00:00:00",,,,English,,true,Colleges and Universities,,,http://ed.gov/developer,,http://nces.ed.gov/ipeds/
"Awards/degrees conferred by program, award level, race/ethnicity, and gender","This file contains the number of awards by type of program, level of award (certificate or degree), first or second major and by race/ethnicity and gender. Type of program is categorized according to the Classification of Instructional Programs (CIP), a detailed coding system for postsecondary instructional programs. Data covers all awards granted between July 1, 2009 and June 30, 2010. This file contains multiple records per institution. Each record is uniquely defined by the variables IPEDS ID (UNITID), classification of instructional program (CIPCODE), first or second major (MAJORNUM) and award level (AWLEVEL). In 2009-10 institutions had the choice of using the old race/ethnicity categories or the new new race/ethnicity categories or a mix of old and new to report completions data. Each record will contain both old and new categories and a set of derived variables that combine both old and new. The set of race/ethnicity variables that will be used in IPEDS publications during these optional reporting years will be the derived set of variables, the two or more race category from the new reporting method, race/ethnicity unknown and Nonresident Aliens. These variables will sum to the total awards on each record.","education, colleges, universities",2011-11-19 00:00:00,US Department of Education,Open Data Initiative,opendata@ed.gov,fjce-ze3t,public,,http://nces.ed.gov/ipeds/datacenter/data/C2010_A_Dict.zip,,http://explore.data.gov/api/views/fjce-ze3t/rows.json,JSON,Public Domain,US,"2009-09-01 00:00:00,2010-05-31 00:00:00",,,,English,,true,Colleges and Universities,,,http://ed.gov/developer,,http://nces.ed.gov/ipeds/
Educational offerings and athletic associations,"This file contains data on program and award level offerings, control and affiliation and special learning opportunities. This file also contains data on applicants, admissions and test scores for institutions who do not have an open admissions policy.","education, colleges, universities",2011-11-19 00:00:00,US Department of Education,Open Data Initiative,opendata@ed.gov,5uik-y7st,public,,http://nces.ed.gov/ipeds/datacenter/data/IC2010_Dict.zip,,http://explore.data.gov/api/views/5uik-y7st/rows.json,JSON,Public Domain,US,"2009-09-01 00:00:00,2010-05-31 00:00:00",,,,English,,true,Colleges and Universities,,,http://ed.gov/developer,,http://nces.ed.gov/ipeds/
"Graduation rate data, 200% of normal time to complete - cohort year 2001 (4-year) and cohort year 2005 (less-than-4-year) institutions",,"education, colleges, universities",2011-11-19 00:00:00,US Department of Education,Open Data Initiative,opendata@ed.gov,8bii-3eu2,public,,http://nces.ed.gov/ipeds/datacenter/data/GR200_09_Dict.zip,,http://explore.data.gov/api/views/8bii-3eu2/rows.json,JSON,Public Domain,US,"2008-09-01 00:00:00,2009-05-31 00:00:00",,,,English,,true,Colleges and Universities,,,http://ed.gov/developer,,http://nces.ed.gov/ipeds/
Student financial aid and net price (revised on 07/12/2011),,"education, colleges, universities",2011-11-19 00:00:00,US Department of Education,Open Data Initiative,opendata@ed.gov,4ibs-r6fv,public,,http://nces.ed.gov/ipeds/datacenter/data/SFA0809_RV_Dict.zip,,http://explore.data.gov/api/views/4ibs-r6fv/rows.json,JSON,Public Domain,US,"2008-09-01 00:00:00,2009-05-31 00:00:00",,,,English,,true,Colleges and Universities,,,http://ed.gov/developer,,http://nces.ed.gov/ipeds/
12-month instructional activity,,"education, colleges, universities",2011-11-19 00:00:00,US Department of Education,Open Data Initiative,opendata@ed.gov,thh5-72te,public,,http://nces.ed.gov/ipeds/datacenter/data/EFIA2009_Dict.zip,,http://explore.data.gov/api/views/thh5-72te/rows.json,JSON,Public Domain,US,"2008-09-01 00:00:00,2009-05-31 00:00:00",,,,English,,true,Colleges and Universities,,,http://ed.gov/developer,,http://nces.ed.gov/ipeds/
Student charges for academic year programs,,"education, colleges, universities",2011-11-19 00:00:00,US Department of Education,Open Data Initiative,opendata@ed.gov,wgh7-hitc,public,,http://nces.ed.gov/ipeds/datacenter/data/IC2009_AY_Dict.zip,,http://explore.data.gov/api/views/wgh7-hitc/rows.json,JSON,Public Domain,US,"2009-09-01 00:00:00,2010-05-31 00:00:00",,,,English,,true,"Colleges and Universities, Student Charges",,,http://ed.gov/developer,,http://nces.ed.gov/ipeds/
Student charges by program (vocational programs),,"education, colleges, universities",2011-11-19 00:00:00,US Department of Education,Open Data Initiative,opendata@ed.gov,tcb6-vjfn,public,,http://nces.ed.gov/ipeds/datacenter/data/IC2009_PY_Dict.zip,,http://explore.data.gov/api/views/tcb6-vjfn/rows.json,JSON,Public Domain,US,"2009-09-01 00:00:00,2010-05-31 00:00:00",,,,English,,true,"Colleges and Universities, Student Charges",,,http://ed.gov/developer,,http://nces.ed.gov/ipeds/
