title,description,keyword,modified,publisher,person,mbox,identifier,accessLevel,COMMON-EXPANDED,dataDictionary,accessURL,webService,format,license,spatial,temporal,EXPANDED,issued,accrualPeriodicity,language,granularity,dataQuality,theme,references,size,landingPage,feed,systemOfRecords
Projects (KPIs),Projects (KPIs),"countries, performance, tracking, monitoring, evaluation, benchmarks, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,performance-projects,Public,,http://data.mcc.gov/performance/projects.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Quaterly,English,,TRUE,Projects performance information (KPIs and ITTs),,,http://data.mcc.gov,,ITTs Spreadsheets (Excel)
Compacts (KPIs),Compacts (KPIs),"countries, performance, tracking, monitoring, evaluation, benchmarks, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,performance-compacts,Public,,http://data.mcc.gov/performance/compacts.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Quaterly,English,,TRUE,Projects performance information (KPIs and ITTs),,,http://data.mcc.gov,,ITTs Spreadsheets (Excel)
Activities (KPIs),Activities (KPIs),"countries, performance, tracking, monitoring, evaluation, benchmarks, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,performance-activities,Public,,http://data.mcc.gov/performance/activities.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Quaterly,English,,TRUE,Projects performance information (KPIs and ITTs),,,http://data.mcc.gov,,ITTs Spreadsheets (Excel)
Key Performance Indicators (KPIs),Key Performance Indicators (KPIs),"countries, performance, tracking, monitoring, evaluation, benchmarks, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,performance-kpis,Public,,http://data.mcc.gov/performance/kpis.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Quaterly,English,,TRUE,Projects performance information (KPIs and ITTs),,,http://data.mcc.gov,,ITTs Spreadsheets (Excel)
Data notes (KPIs),Data notes (KPIs),"countries, performance, tracking, monitoring, evaluation, benchmarks, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,performance-notes,Public,,http://data.mcc.gov/performance/notes.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Quaterly,English,,TRUE,Projects performance information (KPIs and ITTs),,,http://data.mcc.gov,,ITTs Spreadsheets (Excel)
Indicators (ITTs),Indicators (ITTs),"countries, performance, tracking, monitoring, evaluation, benchmarks, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,performance-indicators,Public,,http://data.mcc.gov/performance/indicators.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Quaterly,English,,TRUE,Projects performance information (KPIs and ITTs),,,http://data.mcc.gov,,ITTs Spreadsheets (Excel)
Indicator Details (ITTs),Indicator Details (ITTs),"countries, performance, tracking, monitoring, evaluation, benchmarks, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,performance-indicator_details,Public,,http://data.mcc.gov/performance/indicator_details.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Quaterly,English,,TRUE,Projects performance information (KPIs and ITTs),,,http://data.mcc.gov,,ITTs Spreadsheets (Excel)
Selection Indicators FY13,Selection Indicators values for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-selection_indicators_fy13,Public,,http://data.mcc.gov/selection/fy13/selection_indicators_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Indicator Categories,Categories of indicators used for country selection,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-indicator_categories_fy13,Public,,http://data.mcc.gov/selection/fy13/indicator_categories_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Indicators,Information about indicators used in FY13 country selection,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-indicators_fy13,Public,,http://data.mcc.gov/selection/fy13/indicators_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
